Year,Selling_Price,Kms_Driven
2014,3.35,27000
2013,4.75,43000
2017,7.25,6900
2011,2.85,5200
2014,4.6,42450
2018,9.25,2071
2015,6.75,18796
2015,6.5,33429
2016,8.75,20273
2015,7.45,42367
2017,2.85,2135
2015,6.85,51000
2015,7.5,15000
2015,6.1,26000
2009,2.25,77427
2016,7.75,43000
2015,7.25,41678
2016,7.75,43000
2015,3.25,35500
2010,2.65,41442
2016,2.85,25000
2017,4.9,2400
2011,4.4,50000
2014,2.5,45280
2013,2.9,56879
2011,3,20000
2013,4.15,55138
2017,6,16200
2010,1.95,44542
2015,7.45,45000
2012,3.1,51439
2011,2.35,54200
2014,4.95,39000
2014,6,45000
2014,5.5,45000
2011,2.95,49998
2015,4.65,48767
2003,0.35,127000
2016,3,10079
2003,2.25,62000
2016,5.85,24524
2014,2.55,46706
2008,1.95,58000
2014,5.5,45780
2012,1.25,50000
2014,7.5,15000
2013,2.65,64532
2006,1.05,65000
2015,5.8,25870
2017,7.75,37000
2012,14.9,104707
2015,23,40000
2017,18,15000
2013,16,135000
2005,2.75,90000
2009,3.6,70000
2015,4.5,40534
2010,4.75,50000
2014,4.1,39485
2014,19.99,41000
2013,6.95,40001
2015,4.5,40588
2014,18.75,78000
2015,23.5,47000
2017,33,6000
2014,4.75,45000
2017,19.75,11000
2010,9.25,59000
2011,4.35,88000
2016,14.25,12000
2014,3.95,71000
2011,4.5,45000
2013,7.45,56001
2011,2.65,43000
2014,4.9,83000
2015,3.95,36000
2013,5.5,72000
2004,1.5,135154
2010,5.25,80000
2012,14.5,89000
2016,14.73,23000
2015,4.75,40000
2017,23,15000
2015,12.5,38000
2005,3.49,197176
2006,2.5,142000
2010,35,78000
2012,5.9,56000
2013,3.45,47000
2014,4.75,40000
2009,3.8,62000
2014,11.25,58242
2005,3.51,75000
2015,23,40000
2008,4,89000
2012,5.85,72000
2016,20.75,29000
2017,17,8700
2013,7.05,45000
2010,9.65,50024
2016,1.75,3000
2017,1.7,1400
2017,1.65,4000
2017,1.45,1200
2017,1.35,4100
2015,1.35,21700
2014,1.35,16500
2013,1.25,15000
2016,1.2,18000
2017,1.2,11000
2016,1.2,6000
2016,1.15,8700
2014,1.15,7000
2016,1.15,35000
2015,1.15,17000
2015,1.11,17500
2013,1.1,33000
2015,1.1,14000
2015,1.1,26000
2013,1.05,5400
2016,1.05,5700
2011,1.05,6900
2016,1.05,6000
2013,1,46500
2012,0.95,11500
2009,0.9,40000
2017,0.9,1300
2016,0.75,7000
2017,0.8,3000
2017,0.78,5000
2017,0.75,11000
2015,0.75,18000
2017,0.75,3500
2016,0.72,500
2017,0.65,11800
2015,0.65,5000
2014,0.65,23500
2013,0.65,16000
2016,0.6,15000
2015,0.6,16600
2013,0.6,32000
2016,0.6,20000
2015,0.6,29000
2016,0.6,25000
2014,0.6,25000
2012,0.6,19000
2014,0.55,15000
2015,0.55,58000
2010,0.52,45000
2016,0.51,24000
2011,0.5,6000
2016,0.5,31000
2012,0.5,13000
2013,0.5,45000
2014,0.5,8000
2017,0.48,4300
2017,0.48,15000
2015,0.48,23000
2017,0.48,8600
2017,0.45,4000
2011,0.45,24000
